#caption: Время отрисовки квадратного кадра в зависимости от размера стороны
#mode: multi_column
#series_labels:Сторона 1000000 у.е.;Сторона 40000 у.е.
#label: table:issled
#header_max_length: 25
#approximation: polynomial:2
#xcol: Размер стороны квадрата
#ycol: Время отрисовки (мс)
#title: Время отрисовки квадратного кадра в зависимости от размера стороны
#xlabel: Размер стороны квадрата
#ylabel: Время отрисовки (мс)
Размер стороны квадрата,Время отрисовки (мс) сторона города 1000000 у.е.,Время отрисовки (мс) сторона города 40000 у.е.
100,415,14
200,420,15
300,418,17
500,442,27
1000,460,56
1500,536,87
2000,570,127
2500,631,190
3000,696,276
4000,907,385
5000,1175,595
6000,1550,827
7000,1932,1161
8000,2253,1451
9000,2872,1832
10000,3305,2495
